Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000060	NAD(P)-linked oxidoreductase superfamily protein	[source:homolog]
Zm00001d000061	GDSL esterase/lipase 	[source:homolog]
Zm00001d000064	Glycine cleavage system H protein 2 mitochondrial	[source:homolog]
Zm00001d000067	Serine--tRNA ligase cytoplasmic	[source:homolog]
Zm00001d000070	Protein PLANT CADMIUM RESISTANCE 12	[source:homolog]
Zm00001d000071	Protein NRT1/ PTR FAMILY 8.3	[source:homolog]
Zm00001d000072	Protein NRT1/ PTR FAMILY 8.3	[source:homolog]
Zm00001d000074	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d000076	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d000077	Calcium permeable stress-gated cation channel 1	[source:homolog]
Zm00001d000079	Coatomer subunit epsilon-1	[source:homolog]
Zm00001d000080	 cipk8;calcineurin B-like-interacting protein kinase8:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000081	Serine/threonine-protein kinase RUNKEL	[source:homolog]
Zm00001d000085	transferases transferring hexosyl groups	[source:homolog]
Zm00001d000086	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d000087	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d000089	Boron transporter 4	[source:homolog]
Zm00001d000092	Expressed protein;  protein	[source:homolog]
Zm00001d000093	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d000094	ACT domain-containing protein ACR12	[source:homolog]
Zm00001d000095	9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic	[source:homolog]
Zm00001d000097	Polyadenylate-binding protein-interacting protein 10	[source:homolog]
Zm00001d000098	Probable protein phosphatase 2C 12	[source:homolog]
Zm00001d000099	Beta-13-galactosyltransferase 7	[source:homolog]
Zm00001d000104	40S ribosomal protein S14-3	[source:homolog]
Zm00001d000106	late embryogenesis abundant protein	[source:homolog]
Zm00001d000107	Fatty acyl-CoA reductase 1	[source:homolog]
Zm00001d000109	hAT transposon superfamily protein	[source:homolog]
Zm00001d000110	SWI/SNF complex subunit SWI3C	[source:homolog]
Zm00001d000112	NAC domain-containing protein 2	[source:homolog]
Zm00001d000115	Probable protein phosphatase 2C 33	[source:homolog]
Zm00001d000116	Aldehyde dehydrogenase  	 [source: RefGen_v3] 
Zm00001d000117	Glucan endo-13-beta-glucosidase 14	[source:homolog]
Zm00001d000118	rRNA processing protein-related	[source:homolog]
Zm00001d000120	 mch2;maize CRY1 homolog2: Homolog to yeast 40S ribosomal protein S14 gene family (cDNA probe)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000121	40S ribosomal protein S4-3	[source:homolog]
Zm00001d000122	forkhead-associated domain-containing protein / FHA domain-containing protein	[source:homolog]
Zm00001d000123	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d000124	Probable protein phosphatase 2C 40	[source:homolog]
Zm00001d000126	OSJNBb0118P14.9 protein; Os04g0403901 protein	[source:homolog]
Zm00001d000133	Acetyl-coenzyme A synthetase chloroplastic/glyoxysomal	[source:homolog]
Zm00001d000134	OSJNBa0020I02.16 protein	[source:homolog]
Zm00001d000135	Late embryogenesis abundant protein (LEA) family protein	[source:homolog]
Zm00001d000137	Putative pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d000143	Expressed protein;  protein	[source:homolog]
Zm00001d000150	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d000152	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d000153	Diaminopimelate decarboxylase 2 chloroplastic	[source:homolog]
Zm00001d000154	Expressed protein;  protein	[source:homolog]
Zm00001d000156	Vesicle-fusing ATPase	[source:homolog]
Zm00001d000157	9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic	[source:homolog]
Zm00001d000158	Putative ankyrin repeat domain family protein  	 [source: RefGen_v3] 
Zm00001d000159	60S ribosomal protein L11-2	[source:homolog]
Zm00001d000160	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d000161	 betl4;basal endosperm transfer layer4: cDNA sequence, basal endosperm specific	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000163	1-aminocyclopropane-1-carboxylate oxidase  	 [source: RefGen_v3] 
Zm00001d000164	Phosphoribulokinase chloroplastic	[source:homolog]
Zm00001d000165	Bromodomain transcription factor	[source:homolog]
Zm00001d000166	Tudor/PWWP/MBT superfamily protein	[source:homolog]
Zm00001d000168	 cdc201;cell division cycle201:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000169	Serine/threonine-protein kinase MHK	[source:homolog]
Zm00001d000170	SRR1-like protein  	 [source: RefGen_v3] 
Zm00001d000175	CONTAINS InterPro DOMAIN/s: Pleckstrin-like plant (InterPro:IPR013666) Pleckstrin homology (InterPro:IPR001849); BEST Arabidopsis thaliana protein match is: FORKED 1 (TAIR:AT3G63300.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archa /.../8; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).	[source:homolog]
Zm00001d000176	Zinc finger protein CONSTANS-LIKE 5	[source:homolog]
Zm00001d000178	Autophagy-related protein 3  	 [source: RefGen_v3] 
Zm00001d000179	 ereb1;AP2-EREBP-transcription factor 1: Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) , which also provided the mappings to the B73_Reference Genome sequence v2 gene models.	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000180	8-amino-7-oxononanoate synthase	[source:homolog]
Zm00001d000183	 mstr4;monosaccharide transporter4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000184	 mybst1;single-repeat Myb protein1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000185	OSJNBa0016N04.12 protein	[source:homolog]
Zm00001d000189	MDIS1-interacting receptor like kinase 2	[source:homolog]
Zm00001d000191	E3 ubiquitin-protein ligase UPL6	[source:homolog]
Zm00001d000194	Glycine-rich protein family	[source:homolog]
Zm00001d000195	Putative MATE efflux family protein  	 [source: RefGen_v3] 
Zm00001d000196	Putative MATE efflux family protein  	 [source: RefGen_v3] 
Zm00001d000197	DUF3511 domain protein	[source:homolog]
Zm00001d000199	Nicotinamide adenine dinucleotide transporter 1 chloroplastic	[source:homolog]
Zm00001d000202	Charged multivesicular body protein 2a  	 [source: RefGen_v3] 
Zm00001d000203	Patatin-like protein 6	[source:homolog]
Zm00001d000204	Probable sulfate transporter 3.4	[source:homolog]
Zm00001d000205	Carboxypeptidase SOL1	[source:homolog]
Zm00001d000213	Putative translation elongation factor family protein  	 [source: RefGen_v3] 
Zm00001d000216	 mgs3;male gametophyte specific3: genomic sequence with homology to mgs2 cDNA	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000219	Phytochrome B	[source:homolog]
Zm00001d000220	Pentatricopeptide repeat protein PPR868-14  	 [source: RefGen_v3] 
Zm00001d000222	 sweet1a;sugars will eventually be exported transporter1a:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000223	DNA repair metallo-beta-lactamase family protein	[source:homolog]
Zm00001d000224	F-box protein SKP2A	[source:homolog]
Zm00001d000226	ubiquitin-specific protease 7	[source:homolog]
Zm00001d000227	Pyruvate dehydrogenase E1 component subunit beta  	 [source: RefGen_v3] 
Zm00001d000230	Protease Do-like 5 chloroplastic	[source:homolog]
Zm00001d000231	PIF1 helicase	[source:homolog]
Zm00001d000233	Cation/H(+) antiporter 19	[source:homolog]
Zm00001d000235	Peptidyl-prolyl cis-trans isomerase FKBP17-2 chloroplastic	[source:homolog]
Zm00001d000236	 b1;colored plant1: dominant B1 plants have anthocyanin in major plant tissues; some alleles affect aleurone and embryo color; regulates flavonoid enzymes; SSR umc1776	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000237	 czog1;cis-zeatin O-glucosyltransferase1: gene intronless, genomic and cDNA sequences identical (Martin et al., 2001 PNAS 98:5922); expression high in roots and kernels (compare czog2).	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000238	Growth-regulating factor 6	[source:homolog]
Zm00001d000240	Transcription initiation factor IIF beta subunit	[source:homolog]
Zm00001d000241	Single-stranded DNA-binding protein mitochondrial	[source:homolog]
Zm00001d000242	Expressed protein;  protein	[source:homolog]
Zm00001d000247	Homeobox-leucine zipper protein MERISTEM L1	[source:homolog]
Zm00001d000250	Expressed protein;  protein	[source:homolog]
Zm00001d000254	Nonsense-mediated mRNA decay protein 2 isoform 2	[source:homolog]
Zm00001d000256	Probable calcium-binding protein CML21	[source:homolog]
Zm00001d000257	Transmembrane CLPTM1 family protein	[source:homolog]
Zm00001d000260	Photosystem II D2 protein	[source:homolog]
Zm00001d000270	DNA-directed RNA polymerase subunit beta	[source:homolog]
Zm00001d000272	Photosystem I P700 chlorophyll a apoprotein A2	[source:homolog]
Zm00001d000277	ATP synthase subunit beta chloroplastic	[source:homolog]
Zm00001d000279	Ribulose bisphosphate carboxylase large chain  	 [source: RefGen_v3] 
Zm00001d000282	Photosystem II CP47 reaction center protein	[source:homolog]
Zm00001d000288	Auxin-responsive protein IAA29	[source:homolog]
Zm00001d000291	Transcription factor bHLH69	[source:homolog]
Zm00001d000293	Zinc finger protein 346	[source:homolog]
Zm00001d000294	O-succinylhomoserine sulfhydrylase  	 [source: RefGen_v3] 
Zm00001d000295	Heat shock 70 kDa protein 10 mitochondrial	[source:homolog]
Zm00001d000296	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	[source:homolog]
Zm00001d000297	B12D protein	[source:homolog]
Zm00001d000298	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1  	 [source: RefGen_v3] 
Zm00001d000299	Endosomal targeting BRO1-like domain-containing protein	[source:homolog]
Zm00001d000300	Eukaryotic translation initiation factor 5  	 [source: RefGen_v3] 
Zm00001d000301	exocyst subunit exo70 family protein G1	[source:homolog]
Zm00001d000302	Probable protein phosphatase 2C 59	[source:homolog]
Zm00001d000303	Putative homeobox DNA-binding and leucine zipper domain family protein  	 [source: RefGen_v3] 
Zm00001d000305	Disulfide oxidoreductase/ electron carrier/ oxidoreductase  	 [source: RefGen_v3] 
Zm00001d000306	Adagio protein 1	[source:homolog]
Zm00001d000308	F-box domain containing protein expressed	[source:homolog]
Zm00001d000310	Protein LURP-one-related 5	[source:homolog]
Zm00001d000311	Outer membrane OMP85 family protein	[source:homolog]
Zm00001d000312	Ubiquitin carboxyl-terminal hydrolase 25	[source:homolog]
Zm00001d000313	Ubiquitin carboxyl-terminal hydrolase 25	[source:homolog]
Zm00001d000314	F-box protein 	[source:homolog]
Zm00001d000316	NADP-dependent malic enzyme%2C chloroplastic  	 [source: RefGen_v3] 
Zm00001d000318	Trigger factor-like protein TIG Chloroplastic	[source:homolog]
Zm00001d000325	Tetratricopeptide repeat-like superfamily protein	[source:homolog]
Zm00001d000327	Cysteine protease 1	[source:homolog]
Zm00001d000328	Protein SIEL	[source:homolog]
Zm00001d000329	DNA mismatch repair protein MSH5	[source:homolog]
Zm00001d000330	Retrotransposon-like protein	[source:homolog]
Zm00001d000332	Per1-like family protein	[source:homolog]
Zm00001d000337	(+)-delta-cadinene synthase isozyme C2	[source:homolog]
Zm00001d000339	Ethylene-responsive transcription factor 4%3B Putative AP2/EREBP transcription factor superfamily protein  	 [source: RefGen_v3] 
Zm00001d000344	Purple acid phosphatase 3	[source:homolog]
Zm00001d000346	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	[source:homolog]
Zm00001d000349	Preprotein translocase subunit SCY1 chloroplastic	[source:homolog]
Zm00001d000350	Preprotein translocase subunit SCY1 chloroplastic	[source:homolog]
Zm00001d000354	Exopolygalacturonase  	 [source: RefGen_v3] 
Zm00001d000355	Pectin lyase-like superfamily protein	[source:homolog]
Zm00001d000357	Fatty-acid-binding protein 2	[source:homolog]
Zm00001d000358	Auxin response factor 16	[source:homolog]
Zm00001d000360	Protein SRG1	[source:homolog]
Zm00001d000361	Transcription factor MYB104	[source:homolog]
Zm00001d000362	DNA-directed RNA polymerase V subunit 1	[source:homolog]
Zm00001d000364	Actin-related protein 2/3 complex subunit 3	[source:homolog]
Zm00001d000366	Actin-related protein 2/3 complex subunit 3	[source:homolog]
Zm00001d000367	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	[source:homolog]
Zm00001d000371	Adenylate kinase 1 chloroplastic	[source:homolog]
Zm00001d000373	Adenylate kinase 1 chloroplastic	[source:homolog]
Zm00001d000377	Adenylate kinase 1 chloroplastic	[source:homolog]
Zm00001d000379	ADP-ribosylation factor-like A1A	[source:homolog]
Zm00001d000380	Encodes a protein whose expression is responsive to nematode infection.	[source:homolog]
Zm00001d000381	Putative ARM repeat-containing protein containing family protein  	 [source: RefGen_v3] 
Zm00001d000384	Tetratricopeptide repeat-like superfamily protein	[source:homolog]
Zm00001d000387	 mab13;math-btb13:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000389	class III aminotransferase	[source:homolog]
Zm00001d000390	Putative RING zinc finger domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d000391	Probable protein phosphatase 2C 47	[source:homolog]
Zm00001d000392	Embryo sac4  	 [source: RefGen_v3] 
Zm00001d000395	Inner membrane protein oxaA	[source:homolog]
Zm00001d000396	Protein kinase superfamily protein	[source:homolog]
Zm00001d000398	Putative cyclin-A3-1	[source:homolog]
Zm00001d000399	 cps2;chloroplast protein synthesis2: CPN60 ortholog; 20-fold reduced RUBISCO, 2-fold reduced thylakoid polypeptides, decreased chloroplast polysomes (aka hcf133)Chaperonin60 a1. Molecular chaperone involved in Rubisco assembly. Also affects distribution of ribosomes on chloroplast mRNAs. (A. Barkan, 2015)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000400	Putative HLH DNA-binding domain superfamily protein  	 [source: RefGen_v3] 
Zm00001d000401	FAD-dependent oxidoreductase family protein	[source:homolog]
Zm00001d000402	myosin heavy chain-related	[source:homolog]
Zm00001d000403	Protein binding protein  	 [source: RefGen_v3] 
Zm00001d000406	Endochitinase EP3	[source:homolog]
Zm00001d000407	CBL-interacting serine/threonine-protein kinase 24	[source:homolog]
Zm00001d000408	EIN3-binding F-box protein 1	[source:homolog]
Zm00001d000409	Photosystem II reaction center PSB28 protein chloroplastic	[source:homolog]
Zm00001d000410	RING-H2 finger protein ATL3C	[source:homolog]
Zm00001d000412	hAT transposon superfamily protein	[source:homolog]
Zm00001d000413	UDP-glycosyltransferase 90A1	[source:homolog]
Zm00001d000414	Disease resistance protein RPM1	[source:homolog]
Zm00001d000417	Photosystem Q(B) protein  	 [source: RefGen_v3] 
Zm00001d000418	 endo1;endosperm specific protein1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000419	HAD-superfamily hydrolase subfamily IG 5'-nucleotidase	[source:homolog]
Zm00001d000424	Phytolongin Phyl1.1	[source:homolog]
Zm00001d000425	Embryogenesis transmembrane protein-like	[source:homolog]
Zm00001d000428	Transmembrane 9 superfamily member 9	[source:homolog]
Zm00001d000430	 mgt1;magnesium transporter1: encodes CorA/MRS2/MGT-type magnesium transporter	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d000431	DEAD-box ATP-dependent RNA helicase 51	[source:homolog]
Zm00001d000432	pescadillo-related	[source:homolog]
Zm00001d000434	Adenine/guanine permease AZG1	[source:homolog]
Zm00001d000435	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d000436	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	[source:homolog]
Zm00001d000437	Ankyrin repeat family protein	[source:homolog]
Zm00001d000438	Type III polyketide synthase B	[source:homolog]
Zm00001d000439	SNARE associated Golgi protein family	[source:homolog]
Zm00001d000443	Putative WEB family protein  chloroplastic	[source:homolog]
Zm00001d000445	Probable indole-3-pyruvate monooxygenase YUCCA11	[source:homolog]
Zm00001d000447	OSJNBa0041A02.21 protein;  protein	[source:homolog]
Zm00001d000449	C2H2 and C2HC zinc fingers superfamily protein	[source:homolog]
Zm00001d000458	Transcription repressor OFP7	[source:homolog]
Zm00001d000460	Protein trichome birefringence-like 1	[source:homolog]
Zm00001d001763	Probable methyltransferase 	[source:homolog]
Zm00001d001765	Exocyst complex component EXO70A1	[source:homolog]
Zm00001d001767	 mab10;math-btb10:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001769	E3 ubiquitin-protein ligase PUB23	[source:homolog]
Zm00001d001770	40S ribosomal protein S4-3	[source:homolog]
Zm00001d001771	Eukaryotic aspartyl protease family protein	[source:homolog]
Zm00001d001772	Protein YLS9	[source:homolog]
Zm00001d001773	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d001774	Probable CCR4-associated factor 1 homolog 11	[source:homolog]
Zm00001d001775	Nuclear transcription factor Y subunit B-8	[source:homolog]
Zm00001d001777	late embryogenesis abundant protein	[source:homolog]
Zm00001d001779	Casparian strip membrane protein 4	[source:homolog]
Zm00001d001780	CASP-like protein 1  	 [source: RefGen_v3] 
Zm00001d001781	L-type lectin-domain containing receptor kinase IX.1	[source:homolog]
Zm00001d001784	AT-hook motif nuclear-localized protein 5	[source:homolog]
Zm00001d001785	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	[source:homolog]
Zm00001d001786	Probable LRR receptor-like serine/threonine-protein kinase 	[source:homolog]
Zm00001d001787	Pre-mRNA cleavage factor Im 25 kDa subunit 2	[source:homolog]
Zm00001d001788	K(+) efflux antiporter 2 chloroplastic	[source:homolog]
Zm00001d001789	Phosphomannomutase	[source:homolog]
Zm00001d001790	Cysteine protease ATG4a	[source:homolog]
Zm00001d001791	Glucan endo-1%2C3-beta-glucosidase  	 [source: RefGen_v3] 
Zm00001d001792	RING/U-box superfamily protein	[source:homolog]
Zm00001d001797	Protein MIS12 homolog	[source:homolog]
Zm00001d001798	 mis12b;minichromosome instability12b: encodes a kinetochore protein required for meiosis I	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001799	partner of SLD five 1	[source:homolog]
Zm00001d001800	GDSL esterase/lipase CPRD49	[source:homolog]
Zm00001d001802	GDSL esterase/lipase CPRD49	[source:homolog]
Zm00001d001803	Plasma-membrane choline transporter family protein	[source:homolog]
Zm00001d001804	 mlo9;barley mlo defense gene homolog9: one of 9 seven-transmembrane homologues to barley powdery mildew defense response gene	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001806	DNA mismatch repair protein MutS type 2	[source:homolog]
Zm00001d001808	CONTAINS InterPro DOMAIN/s: Bystin (InterPro:IPR007955); Has 475 Blast hits to 467 proteins in 210 species: Archae - 0; Bacteria - 9; Metazoa - 155; Fungi - 139; Plants - 55; Viruses - 0; Other Eukaryotes - 117 (source: NCBI BLink).	[source:homolog]
Zm00001d001809	RNA polymerase II transcription factor B subunit 2	[source:homolog]
Zm00001d001811	Tetraspanin-19	[source:homolog]
Zm00001d001812	 raf1;Rubisco Assembly Factor 1: Rubisco Accumulation Factor1; promotes Rubisco assembly. (A. Barkan, 2015)Encodes a previously unstudied protein that is conserved in the green lineage and localizes to bundle sheath chloroplasts	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001813	Protein kinase superfamily protein	[source:homolog]
Zm00001d001814	Clathrin light chain 2	[source:homolog]
Zm00001d001817	Probable polyol transporter 4	[source:homolog]
Zm00001d001818	Probable polyol transporter 4	[source:homolog]
Zm00001d001819	N-acetylglucosaminylphosphatidylinositol de-N-acetylase family protein	[source:homolog]
Zm00001d001820	 pcr1;protochlorophyllide reductase1: leaf cDNA csu349 similar to plant protochlorophyllide reductase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001823	Anthranilate synthase beta subunit 1 chloroplastic	[source:homolog]
Zm00001d001824	Dof zinc finger protein DOF1.6	[source:homolog]
Zm00001d001825	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d001827	Translation elongation factor EF1A/initiation factor IF2gamma family protein	[source:homolog]
Zm00001d001828	Katanin p80 WD40 repeat-containing subunit B1 homolog	[source:homolog]
Zm00001d001829	OSJNBa0064G10.17 protein;  protein	[source:homolog]
Zm00001d001830	Mediator of RNA polymerase II transcription subunit 9	[source:homolog]
Zm00001d001831	Pyruvate kinase  	 [source: RefGen_v3] 
Zm00001d001832	NDR1/HIN1-like 25	[source:homolog]
Zm00001d001833	Protein ASPARTIC PROTEASE IN GUARD CELL 2	[source:homolog]
Zm00001d001835	Protein ASPARTIC PROTEASE IN GUARD CELL 2	[source:homolog]
Zm00001d001837	Duplicated homeodomain-like superfamily protein	[source:homolog]
Zm00001d001838	B3 domain-containing transcription factor LEC2	[source:homolog]
Zm00001d001842	Tetratricopeptide repeat (TPR)-like superfamily protein	[source:homolog]
Zm00001d001843	Thioredoxin X chloroplastic	[source:homolog]
Zm00001d001844	Plastid division protein CDP1 chloroplastic	[source:homolog]
Zm00001d001846	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	[source:homolog]
Zm00001d001847	NUMOD3 motif family protein expressed;  protein	[source:homolog]
Zm00001d001848	Zinc finger C3HC4 type (RING finger) family protein	[source:homolog]
Zm00001d001849	Probable acyl-activating enzyme 5 peroxisomal	[source:homolog]
Zm00001d001850	Magnesium-chelatase subunit ChlH chloroplastic	[source:homolog]
Zm00001d001852	Gibberellin-regulated protein 2  	 [source: RefGen_v3] 
Zm00001d001855	DHHC zinc finger domain containing protein  	 [source: RefGen_v3] 
Zm00001d001856	Anamorsin homolog	[source:homolog]
Zm00001d001857	light harvesting complex photosystem II subunit 6	[source:homolog]
Zm00001d001858	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d001859	Vacuolar protein sorting-associated protein 41 homolog	[source:homolog]
Zm00001d001860	Haloacid dehalogenase-like hydrolase domain-containing protein 	[source:homolog]
Zm00001d001861	TPR domain containing protein  	 [source: RefGen_v3] 
Zm00001d001864	Uracil-DNA glycosylase mitochondrial	[source:homolog]
Zm00001d001865	 crr1;cytokinin response regulator1: single copy,cDNA and genomic sequences; induced in leaf by cytokinin, and inorganic nitrogen; SSR umc1622	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001866	DUF3755 family protein	[source:homolog]
Zm00001d001869	Ubiquitin carboxyl-terminal hydrolase family protein	[source:homolog]
Zm00001d001870	Peroxisome biogenesis protein 22	[source:homolog]
Zm00001d001873	hydroxy methylglutaryl CoA reductase 1	[source:homolog]
Zm00001d001875	Mediator of RNA polymerase II transcription subunit 36a	[source:homolog]
Zm00001d001877	Phytosulfokine receptor 1	[source:homolog]
Zm00001d001879	Auxin response factor 3  	 [source: RefGen_v3] 
Zm00001d001880	Whole genome shotgun sequence of line PN40024 scaffold_63.assembly12x (Fragment)	[source:homolog]
Zm00001d001881	Protein DJ-1 homolog D	[source:homolog]
Zm00001d001882	Signal recognition particle 19 kDa protein	[source:homolog]
Zm00001d001884	Trypsin family protein	[source:homolog]
Zm00001d001885	Adenylate kinase 1 chloroplastic	[source:homolog]
Zm00001d001887	Adenylate kinase 1 chloroplastic	[source:homolog]
Zm00001d001894	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d001895	Plant UBX domain-containing protein 7	[source:homolog]
Zm00001d001896	Probable phytol kinase%2C chloroplastic  	 [source: RefGen_v3] 
Zm00001d001897	SEC-C motif-containing protein / OTU-like cysteine protease family protein	[source:homolog]
Zm00001d001899	 arpp2a-3;acidic ribosomal protein P2a-3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d001900	Probable cysteine protease RD21B	[source:homolog]
Zm00001d001901	Reticulon-like protein B11	[source:homolog]
Zm00001d001902	Carboxylesterase SOBER1	[source:homolog]
Zm00001d001903	Carboxylesterase SOBER1	[source:homolog]
Zm00001d001905	OSJNBa0043A12.20 protein	[source:homolog]
Zm00001d001906	EH domain-containing protein 1	[source:homolog]
Zm00001d001907	Ethylene-responsive transcription factor 7	[source:homolog]
Zm00001d001908	Alternative oxidase  	 [source: RefGen_v3] 
Zm00001d001909	Alternative oxidase  	 [source: RefGen_v3] 
Zm00001d001910	OSJNBa0043A12.15 protein;  protein; Thioredoxin-like protein	[source:homolog]
Zm00001d001911	ATP-dependent RNA helicase	[source:homolog]
Zm00001d001912	Serine carboxypeptidase-like 51	[source:homolog]
Zm00001d001913	Ubiquitin-conjugating enzyme E2 11	[source:homolog]
Zm00001d001914	Actin-related protein 8	[source:homolog]
Zm00001d001917	SKP1-like protein 4	[source:homolog]
Zm00001d001920	PIF1 helicase	[source:homolog]
Zm00001d001922	ACT domain-containing protein ACR9	[source:homolog]
Zm00001d001923	SKP1-like protein 4	[source:homolog]
Zm00001d001924	KAR-UP oxidoreductase 1	[source:homolog]
Zm00001d001927	Flavonol synthase/flavanone 3-hydroxylase  	 [source: RefGen_v3] 
